billing_id,subscription_id,customer_id,billing_date,due_date,base_amount,additional_charges,tax_amount,total_amount,payment_amount,payment_date,payment_method,status,billing_cycle
BILL-1234593748,SUB-10001945,CUS-11325,2025-03-01,2025-03-15,117.63,0,11.18,128.81,128.81,2025-03-03,Bank Transfer,Paid,2025-03-01
BILL-1234593749,SUB-10001945,CUS-11325,2025-04-01,2025-04-15,117.63,0,12.18,129.81,129.81,2025-04-02,Check,Paid,2025-04-01
BILL-1234593750,SUB-10001945,CUS-11325,2025-05-01,2025-05-15,117.63,0,13.88,131.51,131.51,2025-05-05,Check,Paid,2025-05-01
BILL-1234593751,SUB-10001945,CUS-11325,2025-06-01,2025-06-15,117.63,0,11.41,129.04,129.04,2025-06-08,Bank Transfer,Paid,2025-06-01
BILL-1234593752,SUB-10001946,CUS-11326,2024-09-01,2024-09-15,66.26,25.78,9.74,101.78,101.78,2024-09-14,Bank Transfer,Paid,2024-09-01
BILL-1234593753,SUB-10001946,CUS-11326,2024-10-01,2024-10-15,66.26,36.14,11.86,114.26,114.26,2024-10-15,Credit Card,Paid,2024-10-01
BILL-1234593754,SUB-10001946,CUS-11326,2024-11-01,2024-11-15,66.26,0,6.23,72.49,72.49,2024-11-11,Bank Transfer,Paid,2024-11-01
BILL-1234593755,SUB-10001946,CUS-11326,2024-12-01,2024-12-15,66.26,0,6.45,72.71,72.71,2024-12-03,Bank Transfer,Paid,2024-12-01
BILL-1234593756,SUB-10001946,CUS-11326,2025-01-01,2025-01-15,66.26,0,6.17,72.43,72.43,2025-01-11,Check,Paid,2025-01-01
BILL-1234593757,SUB-10001946,CUS-11326,2025-02-01,2025-02-15,66.26,0,6.7,72.96,72.96,2025-02-12,PayPal,Paid,2025-02-01
BILL-1234593758,SUB-10001946,CUS-11326,2025-03-01,2025-03-15,66.26,0,5.89,72.15,72.15,2025-03-05,Check,Paid,2025-03-01
BILL-1234593759,SUB-10001946,CUS-11326,2025-04-01,2025-04-15,66.26,0,7.14,73.4,73.4,2025-04-07,Bank Transfer,Paid,2025-04-01
BILL-1234593760,SUB-10001946,CUS-11326,2025-05-01,2025-05-15,66.26,35.8,11.14,113.2,113.2,2025-05-10,PayPal,Paid,2025-05-01
BILL-1234593761,SUB-10001946,CUS-11326,2025-06-01,2025-06-15,66.26,0,5.91,72.17,72.17,2025-06-07,Check,Paid,2025-06-01
BILL-1234593762,SUB-10001948,CUS-11327,2024-01-01,2024-01-15,59.99,0,5.41,65.4,65.4,2024-01-15,Credit Card,Paid,2024-01-01
BILL-1234593763,SUB-10001948,CUS-11327,2024-02-01,2024-02-15,59.99,31.35,7.61,98.95,98.95,2024-02-06,Credit Card,Paid,2024-02-01
BILL-1234593764,SUB-10001948,CUS-11327,2024-03-01,2024-03-15,59.99,0,6.96,66.95,66.95,2024-03-16,Check,Paid,2024-03-01
BILL-1234593765,SUB-10001948,CUS-11327,2024-04-01,2024-04-15,59.99,21.89,8.77,90.65,null,null,null,Unpaid,2024-04-01
BILL-1234593766,SUB-10001948,CUS-11327,2024-05-01,2024-05-15,59.99,0,6.37,66.36,66.36,2024-05-06,Credit Card,Paid,2024-05-01
BILL-1234593767,SUB-10001948,CUS-11327,2024-06-01,2024-06-15,59.99,0,5.58,65.57,65.57,2024-06-13,PayPal,Paid,2024-06-01
BILL-1234593768,SUB-10001948,CUS-11327,2024-07-01,2024-07-15,59.99,0,6.62,66.61,66.61,2024-07-14,PayPal,Paid,2024-07-01
BILL-1234593769,SUB-10001948,CUS-11327,2024-08-01,2024-08-15,59.99,40.64,9.61,110.24,110.24,2024-08-15,Bank Transfer,Paid,2024-08-01
BILL-1234593770,SUB-10001948,CUS-11327,2024-09-01,2024-09-15,59.99,32.42,9.32,101.73,101.73,2024-09-14,Credit Card,Paid,2024-09-01
BILL-1234593771,SUB-10001948,CUS-11327,2024-10-01,2024-10-15,59.99,0,6.33,66.32,null,null,null,Unpaid,2024-10-01
BILL-1234593772,SUB-10001948,CUS-11327,2024-11-01,2024-11-15,59.99,0,5.13,65.12,65.12,2024-11-02,Credit Card,Paid,2024-11-01
BILL-1234593773,SUB-10001948,CUS-11327,2024-12-01,2024-12-15,59.99,0,5.89,65.88,65.88,2024-12-06,Bank Transfer,Paid,2024-12-01
BILL-1234593774,SUB-10001948,CUS-11327,2025-01-01,2025-01-15,59.99,0,5.45,65.44,65.44,2025-01-13,Bank Transfer,Paid,2025-01-01
BILL-1234593775,SUB-10001948,CUS-11327,2025-02-01,2025-02-15,59.99,0,6.56,66.55,66.55,2025-02-09,Bank Transfer,Paid,2025-02-01
BILL-1234593776,SUB-10001948,CUS-11327,2025-03-01,2025-03-15,59.99,47.84,12.32,120.15,120.15,2025-03-03,PayPal,Paid,2025-03-01
BILL-1234593777,SUB-10001948,CUS-11327,2025-04-01,2025-04-15,59.99,0,5.82,65.81,null,null,null,Unpaid,2025-04-01
BILL-1234593778,SUB-10001948,CUS-11327,2025-05-01,2025-05-15,59.99,0,6.39,66.38,null,null,null,Unpaid,2025-05-01
BILL-1234593779,SUB-10001948,CUS-11327,2025-06-01,2025-06-15,59.99,0,5.12,65.11,65.11,2025-06-06,PayPal,Paid,2025-06-01
BILL-1234593780,SUB-10001949,CUS-11328,2024-01-01,2024-01-15,77.59,0,8.44,86.03,86.03,2024-01-06,Check,Paid,2024-01-01
BILL-1234593781,SUB-10001949,CUS-11328,2024-02-01,2024-02-15,77.59,42.54,12.65,132.78,132.78,2024-02-02,PayPal,Paid,2024-02-01
BILL-1234593782,SUB-10001949,CUS-11328,2024-03-01,2024-03-15,77.59,0,7.29,84.88,84.88,2024-03-02,PayPal,Paid,2024-03-01
BILL-1234593783,SUB-10001949,CUS-11328,2024-04-01,2024-04-15,77.59,0,6.77,84.36,84.36,2024-04-02,Check,Paid,2024-04-01
BILL-1234593784,SUB-10001949,CUS-11328,2024-05-01,2024-05-15,77.59,0,9.2,86.79,86.79,2024-05-07,PayPal,Paid,2024-05-01
BILL-1234593785,SUB-10001949,CUS-11328,2024-06-01,2024-06-15,77.59,0,9.28,86.87,86.87,2024-06-03,Credit Card,Paid,2024-06-01
BILL-1234593786,SUB-10001949,CUS-11328,2024-07-01,2024-07-15,77.59,0,6.81,84.4,84.4,2024-07-09,Check,Paid,2024-07-01
BILL-1234593787,SUB-10001949,CUS-11328,2024-08-01,2024-08-15,77.59,0,7.58,85.17,85.17,2024-08-15,Credit Card,Paid,2024-08-01
BILL-1234593788,SUB-10001949,CUS-11328,2024-09-01,2024-09-15,77.59,0,8.87,86.46,86.46,2024-09-11,Bank Transfer,Paid,2024-09-01
BILL-1234593789,SUB-10001949,CUS-11328,2024-10-01,2024-10-15,77.59,7.88,8.68,94.15,94.15,2024-10-05,PayPal,Paid,2024-10-01
BILL-1234593790,SUB-10001949,CUS-11328,2024-11-01,2024-11-15,77.59,30.46,12.37,120.42,120.42,2024-11-03,Credit Card,Paid,2024-11-01
BILL-1234593791,SUB-10001949,CUS-11328,2024-12-01,2024-12-15,77.59,0,7.21,84.8,84.8,2024-12-08,Check,Paid,2024-12-01
BILL-1234593792,SUB-10001949,CUS-11328,2025-01-01,2025-01-15,77.59,0,6.95,84.54,84.54,2025-01-02,Bank Transfer,Paid,2025-01-01
BILL-1234593793,SUB-10001949,CUS-11328,2025-02-01,2025-02-15,77.59,0,7.73,85.32,85.32,2025-02-05,Credit Card,Paid,2025-02-01
BILL-1234593794,SUB-10001949,CUS-11328,2025-03-01,2025-03-15,77.59,0,6.94,84.53,84.53,2025-03-16,Check,Paid,2025-03-01
BILL-1234593795,SUB-10001949,CUS-11328,2025-04-01,2025-04-15,77.59,0,8.95,86.54,86.54,2025-04-12,Bank Transfer,Paid,2025-04-01
BILL-1234593796,SUB-10001949,CUS-11328,2025-05-01,2025-05-15,77.59,32.12,9.42,119.13,41.23,2025-05-25,PayPal,Partial,2025-05-01
BILL-1234593797,SUB-10001949,CUS-11328,2025-06-01,2025-06-15,77.59,0,6.35,83.94,83.94,2025-06-11,Bank Transfer,Paid,2025-06-01
BILL-1234593798,SUB-10001950,CUS-11329,2024-01-01,2024-01-15,117.71,0,9.64,127.35,127.35,2024-01-07,Bank Transfer,Paid,2024-01-01
BILL-1234593799,SUB-10001950,CUS-11329,2024-02-01,2024-02-15,117.71,0,10.61,128.32,128.32,2024-02-06,Bank Transfer,Paid,2024-02-01
BILL-1234593800,SUB-10001950,CUS-11329,2024-03-01,2024-03-15,117.71,0,10.8,128.51,128.51,2024-03-05,PayPal,Paid,2024-03-01
BILL-1234593801,SUB-10001950,CUS-11329,2024-04-01,2024-04-15,117.71,39.23,16.46,173.4,173.4,2024-04-13,Credit Card,Paid,2024-04-01
BILL-1234593802,SUB-10001950,CUS-11329,2024-05-01,2024-05-15,117.71,0,12.2,129.91,129.91,2024-05-14,Credit Card,Paid,2024-05-01
BILL-1234593803,SUB-10001950,CUS-11329,2024-06-01,2024-06-15,117.71,0,12.7,130.41,130.41,2024-06-09,Check,Paid,2024-06-01
BILL-1234593804,SUB-10001950,CUS-11329,2024-07-01,2024-07-15,117.71,17.98,12.7,148.39,148.39,2024-07-06,Bank Transfer,Paid,2024-07-01
BILL-1234593805,SUB-10001950,CUS-11329,2024-08-01,2024-08-15,117.71,15.79,13.18,146.68,146.68,2024-08-02,Bank Transfer,Paid,2024-08-01
BILL-1234593806,SUB-10001950,CUS-11329,2024-09-01,2024-09-15,117.71,0,12.68,130.39,130.39,2024-09-14,PayPal,Paid,2024-09-01
BILL-1234593807,SUB-10001950,CUS-11329,2024-10-01,2024-10-15,117.71,0,9.88,127.59,127.59,2024-10-16,Credit Card,Paid,2024-10-01
BILL-1234593808,SUB-10001950,CUS-11329,2024-11-01,2024-11-15,117.71,0,10.34,128.05,128.05,2024-11-14,Credit Card,Paid,2024-11-01
BILL-1234593809,SUB-10001950,CUS-11329,2024-12-01,2024-12-15,117.71,41,14.41,173.12,173.12,2024-12-14,Credit Card,Paid,2024-12-01
BILL-1234593810,SUB-10001950,CUS-11329,2025-01-01,2025-01-15,117.71,0,12.19,129.9,129.9,2025-01-11,Credit Card,Paid,2025-01-01
BILL-1234593811,SUB-10001950,CUS-11329,2025-02-01,2025-02-15,117.71,0,10.31,128.02,128.02,2025-02-13,PayPal,Paid,2025-02-01
BILL-1234593812,SUB-10001950,CUS-11329,2025-03-01,2025-03-15,117.71,34.17,15.38,167.26,167.26,2025-03-03,Credit Card,Paid,2025-03-01
BILL-1234593813,SUB-10001950,CUS-11329,2025-04-01,2025-04-15,117.71,6.29,13.32,137.32,137.32,2025-04-11,Credit Card,Paid,2025-04-01
BILL-1234593814,SUB-10001950,CUS-11329,2025-05-01,2025-05-15,117.71,0,13.12,130.83,null,null,null,Unpaid,2025-05-01
BILL-1234593815,SUB-10001950,CUS-11329,2025-06-01,2025-06-15,117.71,0,9.44,127.15,127.15,2025-06-05,Bank Transfer,Paid,2025-06-01
BILL-1234593816,SUB-10001951,CUS-11330,2024-02-01,2024-02-15,97.55,0,9.52,107.07,107.07,2024-02-02,Check,Paid,2024-02-01
BILL-1234593817,SUB-10001951,CUS-11330,2024-03-01,2024-03-15,97.55,0,9.83,107.38,107.38,2024-03-02,Bank Transfer,Paid,2024-03-01
BILL-1234593818,SUB-10001951,CUS-11330,2024-04-01,2024-04-15,97.55,41.06,14.5,153.11,153.11,2024-04-18,Check,Paid,2024-04-01
BILL-1234593819,SUB-10001951,CUS-11330,2024-05-01,2024-05-15,97.55,0,8.52,106.07,106.07,2024-05-10,Check,Paid,2024-05-01
BILL-1234593820,SUB-10001951,CUS-11330,2024-06-01,2024-06-15,97.55,11.7,12.01,121.26,121.26,2024-06-15,Check,Paid,2024-06-01
BILL-1234593821,SUB-10001951,CUS-11330,2024-07-01,2024-07-15,97.55,0,10.33,107.88,107.88,2024-07-12,Bank Transfer,Paid,2024-07-01
BILL-1234593822,SUB-10001951,CUS-11330,2024-08-01,2024-08-15,97.55,0,10.75,108.3,108.3,2024-08-04,Check,Paid,2024-08-01
BILL-1234593823,SUB-10001951,CUS-11330,2024-09-01,2024-09-15,97.55,0,8.53,106.08,106.08,2024-09-05,Bank Transfer,Paid,2024-09-01
BILL-1234593824,SUB-10001951,CUS-11330,2024-10-01,2024-10-15,97.55,34.47,14,146.02,146.02,2024-10-02,PayPal,Paid,2024-10-01
BILL-1234593825,SUB-10001951,CUS-11330,2024-11-01,2024-11-15,97.55,41.69,15.04,154.28,154.28,2024-11-15,Check,Paid,2024-11-01
BILL-1234593826,SUB-10001951,CUS-11330,2024-12-01,2024-12-15,97.55,0,8.65,106.2,106.2,2024-12-17,PayPal,Paid,2024-12-01
BILL-1234593827,SUB-10001951,CUS-11330,2025-01-01,2025-01-15,97.55,0,8.57,106.12,106.12,2025-01-13,PayPal,Paid,2025-01-01
BILL-1234593828,SUB-10001951,CUS-11330,2025-02-01,2025-02-15,97.55,0,10.4,107.95,107.95,2025-02-12,Check,Paid,2025-02-01
BILL-1234593829,SUB-10001951,CUS-11330,2025-03-01,2025-03-15,97.55,0,9.86,107.41,107.41,2025-03-12,Bank Transfer,Paid,2025-03-01
BILL-1234593830,SUB-10001951,CUS-11330,2025-04-01,2025-04-15,97.55,0,8.13,105.68,null,null,null,Late,2025-04-01
BILL-1234593831,SUB-10001951,CUS-11330,2025-05-01,2025-05-15,97.55,0,10.14,107.69,null,null,null,Late,2025-05-01
BILL-1234593832,SUB-10001951,CUS-11330,2025-06-01,2025-06-15,97.55,40.96,14.97,153.48,153.48,2025-06-11,PayPal,Paid,2025-06-01
BILL-1234593833,SUB-10001952,CUS-11331,2024-01-01,2024-01-15,61.17,10.1,8.49,79.76,79.76,2024-01-11,PayPal,Paid,2024-01-01
BILL-1234593834,SUB-10001952,CUS-11331,2024-02-01,2024-02-15,61.17,15,7.22,83.39,83.39,2024-02-16,Check,Paid,2024-02-01
BILL-1234593835,SUB-10001952,CUS-11331,2024-03-01,2024-03-15,61.17,0,6.99,68.16,68.16,2024-03-08,Bank Transfer,Paid,2024-03-01
BILL-1234593836,SUB-10001952,CUS-11331,2024-04-01,2024-04-15,61.17,40.41,10.47,112.05,112.05,2024-04-03,Bank Transfer,Paid,2024-04-01
BILL-1234593837,SUB-10001952,CUS-11331,2024-05-01,2024-05-15,61.17,6.16,7.5,74.83,74.83,2024-05-07,Check,Paid,2024-05-01
BILL-1234593838,SUB-10001952,CUS-11331,2024-06-01,2024-06-15,61.17,48.12,9.95,119.24,119.24,2024-06-05,Bank Transfer,Paid,2024-06-01
BILL-1234593839,SUB-10001952,CUS-11331,2024-07-01,2024-07-15,61.17,0,6.89,68.06,68.06,2024-07-02,PayPal,Paid,2024-07-01
BILL-1234593840,SUB-10001952,CUS-11331,2024-08-01,2024-08-15,61.17,12.3,6.7,80.17,80.17,2024-08-16,Check,Paid,2024-08-01
BILL-1234593841,SUB-10001952,CUS-11331,2024-09-01,2024-09-15,61.17,0,6.96,68.13,68.13,2024-09-15,Check,Paid,2024-09-01
BILL-1234593842,SUB-10001952,CUS-11331,2024-10-01,2024-10-15,61.17,19.7,8.05,88.92,88.92,2024-10-11,Credit Card,Paid,2024-10-01
BILL-1234593843,SUB-10001952,CUS-11331,2024-11-01,2024-11-15,61.17,0,6.65,67.82,67.82,2024-11-18,Bank Transfer,Paid,2024-11-01
BILL-1234593844,SUB-10001952,CUS-11331,2024-12-01,2024-12-15,61.17,0,6.64,67.81,67.81,2024-12-15,Check,Paid,2024-12-01
BILL-1234593845,SUB-10001952,CUS-11331,2025-01-01,2025-01-15,61.17,0,6.44,67.61,67.61,2025-01-14,Bank Transfer,Paid,2025-01-01
BILL-1234593846,SUB-10001952,CUS-11331,2025-02-01,2025-02-15,61.17,0,5.88,67.05,67.05,2025-02-04,Credit Card,Paid,2025-02-01
BILL-1234593847,SUB-10001952,CUS-11331,2025-03-01,2025-03-15,61.17,0,6.42,67.59,67.59,2025-03-16,Bank Transfer,Paid,2025-03-01
BILL-1234593848,SUB-10001952,CUS-11331,2025-04-01,2025-04-15,61.17,49.06,10.51,120.74,null,null,null,Unpaid,2025-04-01
BILL-1234593849,SUB-10001952,CUS-11331,2025-05-01,2025-05-15,61.17,0,7.02,68.19,68.19,2025-05-05,Credit Card,Paid,2025-05-01
BILL-1234593850,SUB-10001952,CUS-11331,2025-06-01,2025-06-15,61.17,0,5.5,66.67,66.67,2025-06-08,PayPal,Paid,2025-06-01
BILL-1234593851,SUB-10001953,CUS-11331,2024-01-01,2024-01-15,49.22,0,4.06,53.28,53.28,2024-01-12,Check,Paid,2024-01-01
BILL-1234593852,SUB-10001953,CUS-11331,2024-02-01,2024-02-15,49.22,0,5.19,54.41,54.41,2024-02-04,Credit Card,Paid,2024-02-01
BILL-1234593853,SUB-10001953,CUS-11331,2024-03-01,2024-03-15,49.22,0,4.61,53.83,53.83,2024-03-09,Credit Card,Paid,2024-03-01
BILL-1234593854,SUB-10001953,CUS-11331,2024-04-01,2024-04-15,49.22,0,4.39,53.61,53.61,2024-04-05,Credit Card,Paid,2024-04-01
BILL-1234593855,SUB-10001953,CUS-11331,2024-05-01,2024-05-15,49.22,0,5.81,55.03,55.03,2024-05-10,Bank Transfer,Paid,2024-05-01
BILL-1234593856,SUB-10001953,CUS-11331,2024-06-01,2024-06-15,49.22,38.25,9.03,96.5,96.5,2024-06-12,PayPal,Paid,2024-06-01
BILL-1234593857,SUB-10001953,CUS-11331,2024-07-01,2024-07-15,49.22,0,4.97,54.19,54.19,2024-07-15,Check,Paid,2024-07-01
BILL-1234593858,SUB-10001953,CUS-11331,2024-08-01,2024-08-15,49.22,0,5.77,54.99,54.99,2024-08-12,Bank Transfer,Paid,2024-08-01
BILL-1234593859,SUB-10001953,CUS-11331,2024-09-01,2024-09-15,49.22,0,5.44,54.66,54.66,2024-09-13,Bank Transfer,Paid,2024-09-01
BILL-1234593860,SUB-10001953,CUS-11331,2024-10-01,2024-10-15,49.22,0,5.3,54.52,54.52,2024-10-03,PayPal,Paid,2024-10-01
BILL-1234593861,SUB-10001953,CUS-11331,2024-11-01,2024-11-15,49.22,0,5.88,55.1,55.1,2024-11-16,Credit Card,Paid,2024-11-01
BILL-1234593862,SUB-10001953,CUS-11331,2024-12-01,2024-12-15,49.22,21.63,6.61,77.46,77.46,2024-12-06,PayPal,Paid,2024-12-01
BILL-1234593863,SUB-10001953,CUS-11331,2025-01-01,2025-01-15,49.22,29.31,9.15,87.68,null,null,null,Unpaid,2025-01-01
BILL-1234593864,SUB-10001953,CUS-11331,2025-02-01,2025-02-15,49.22,34.25,9.49,92.96,92.96,2025-02-03,Credit Card,Paid,2025-02-01
BILL-1234593865,SUB-10001953,CUS-11331,2025-03-01,2025-03-15,49.22,0,4.34,53.56,53.56,2025-03-03,Credit Card,Paid,2025-03-01
BILL-1234593866,SUB-10001953,CUS-11331,2025-04-01,2025-04-15,49.22,0,5.82,55.04,55.04,2025-04-14,PayPal,Paid,2025-04-01
BILL-1234593867,SUB-10001953,CUS-11331,2025-05-01,2025-05-15,49.22,49.21,9.14,107.57,null,null,null,Unpaid,2025-05-01
BILL-1234593868,SUB-10001953,CUS-11331,2025-06-01,2025-06-15,49.22,0,4.28,53.5,53.5,2025-06-13,Check,Paid,2025-06-01
BILL-1234593869,SUB-10001954,CUS-11332,2025-03-01,2025-03-15,99.99,20.89,14.07,134.95,134.95,2025-03-13,Bank Transfer,Paid,2025-03-01
BILL-1234593870,SUB-10001954,CUS-11332,2025-04-01,2025-04-15,99.99,30.47,12.04,142.5,142.5,2025-04-17,Check,Paid,2025-04-01
BILL-1234593871,SUB-10001954,CUS-11332,2025-05-01,2025-05-15,99.99,0,10.23,110.22,110.22,2025-05-11,Bank Transfer,Paid,2025-05-01
BILL-1234593872,SUB-10001954,CUS-11332,2025-06-01,2025-06-15,99.99,42.66,15.47,158.12,null,null,null,Late,2025-06-01
BILL-1234593873,SUB-10001955,CUS-11332,2025-04-01,2025-04-15,118.52,0,14.08,132.6,132.6,2025-04-12,Bank Transfer,Paid,2025-04-01
BILL-1234593874,SUB-10001955,CUS-11332,2025-05-01,2025-05-15,118.52,0,11.82,130.34,130.34,2025-05-14,PayPal,Paid,2025-05-01
BILL-1234593875,SUB-10001955,CUS-11332,2025-06-01,2025-06-15,118.52,42.51,18.69,179.72,104.54,2025-06-22,PayPal,Partial,2025-06-01
BILL-1234593876,SUB-10001956,CUS-11332,2025-04-01,2025-04-15,86.77,0,8.25,95.02,95.02,2025-04-12,PayPal,Paid,2025-04-01
BILL-1234593877,SUB-10001956,CUS-11332,2025-05-01,2025-05-15,86.77,49.27,13.72,149.76,149.76,2025-05-09,Check,Paid,2025-05-01
BILL-1234593878,SUB-10001956,CUS-11332,2025-06-01,2025-06-15,86.77,0,7.23,94,null,null,null,Unpaid,2025-06-01
BILL-1234593879,SUB-10001957,CUS-11332,2025-04-01,2025-04-15,0,0,0,0,null,null,null,Late,2025-04-01
BILL-1234593880,SUB-10001957,CUS-11332,2025-05-01,2025-05-15,0,0,0,0,0,2025-05-03,PayPal,Paid,2025-05-01
BILL-1234593881,SUB-10001957,CUS-11332,2025-06-01,2025-06-15,0,0,0,0,0,2025-06-11,PayPal,Paid,2025-06-01
BILL-1234593882,SUB-10001958,CUS-11333,2024-01-01,2024-01-15,101.77,0,10.59,112.36,112.36,2024-01-09,PayPal,Paid,2024-01-01
BILL-1234593883,SUB-10001958,CUS-11333,2024-02-01,2024-02-15,101.77,0,9.49,111.26,111.26,2024-02-05,Check,Paid,2024-02-01
BILL-1234593884,SUB-10001958,CUS-11333,2024-03-01,2024-03-15,101.77,0,11.51,113.28,113.28,2024-03-11,Bank Transfer,Paid,2024-03-01
BILL-1234593885,SUB-10001958,CUS-11333,2024-04-01,2024-04-15,101.77,0,10.69,112.46,112.46,2024-04-14,Credit Card,Paid,2024-04-01
BILL-1234593886,SUB-10001958,CUS-11333,2024-05-01,2024-05-15,101.77,0,11.64,113.41,113.41,2024-05-02,Bank Transfer,Paid,2024-05-01
BILL-1234593887,SUB-10001958,CUS-11333,2024-06-01,2024-06-15,101.77,33.02,11.21,146,146,2024-06-13,PayPal,Paid,2024-06-01
BILL-1234593888,SUB-10001958,CUS-11333,2024-07-01,2024-07-15,101.77,0,10.11,111.88,111.88,2024-07-14,Bank Transfer,Paid,2024-07-01
BILL-1234593889,SUB-10001958,CUS-11333,2024-08-01,2024-08-15,101.77,0,11.99,113.76,113.76,2024-08-07,Credit Card,Paid,2024-08-01
BILL-1234593890,SUB-10001958,CUS-11333,2024-09-01,2024-09-15,101.77,0,9.49,111.26,111.26,2024-09-05,Bank Transfer,Paid,2024-09-01
BILL-1234593891,SUB-10001958,CUS-11333,2024-10-01,2024-10-15,101.77,0,11.81,113.58,113.58,2024-10-07,Credit Card,Paid,2024-10-01
BILL-1234593892,SUB-10001958,CUS-11333,2024-11-01,2024-11-15,101.77,0,11.26,113.03,113.03,2024-11-10,Check,Paid,2024-11-01
BILL-1234593893,SUB-10001958,CUS-11333,2024-12-01,2024-12-15,101.77,0,9.04,110.81,110.81,2024-12-13,Check,Paid,2024-12-01
BILL-1234593894,SUB-10001958,CUS-11333,2025-01-01,2025-01-15,101.77,0,10.95,112.72,112.72,2025-01-14,Check,Paid,2025-01-01
BILL-1234593895,SUB-10001958,CUS-11333,2025-02-01,2025-02-15,101.77,33.88,14.35,150,150,2025-02-14,Credit Card,Paid,2025-02-01
BILL-1234593896,SUB-10001958,CUS-11333,2025-03-01,2025-03-15,101.77,0,10.47,112.24,53.2,2025-03-16,Credit Card,Partial,2025-03-01
BILL-1234593897,SUB-10001958,CUS-11333,2025-04-01,2025-04-15,101.77,0,10.27,112.04,null,null,null,Unpaid,2025-04-01
BILL-1234593898,SUB-10001958,CUS-11333,2025-05-01,2025-05-15,101.77,0,10.7,112.47,null,null,null,Late,2025-05-01
BILL-1234593899,SUB-10001958,CUS-11333,2025-06-01,2025-06-15,101.77,0,12.12,113.89,113.89,2025-06-03,Bank Transfer,Paid,2025-06-01
BILL-1234593900,SUB-10001959,CUS-11334,2024-01-01,2024-01-15,66.17,0,7.24,73.41,73.41,2024-01-11,PayPal,Paid,2024-01-01
BILL-1234593901,SUB-10001959,CUS-11334,2024-02-01,2024-02-15,66.17,45.83,9.69,121.69,121.69,2024-02-13,Credit Card,Paid,2024-02-01
BILL-1234593902,SUB-10001959,CUS-11334,2024-03-01,2024-03-15,66.17,0,7.5,73.67,73.67,2024-03-08,Check,Paid,2024-03-01
BILL-1234593903,SUB-10001959,CUS-11334,2024-04-01,2024-04-15,66.17,0,7.92,74.09,74.09,2024-05-04,Bank Transfer,Late,2024-04-01
BILL-1234593904,SUB-10001959,CUS-11334,2024-05-01,2024-05-15,66.17,0,5.39,71.56,71.56,2024-05-04,Check,Paid,2024-05-01
BILL-1234593905,SUB-10001959,CUS-11334,2024-06-01,2024-06-15,66.17,6.26,6.33,78.76,78.76,2024-06-14,PayPal,Paid,2024-06-01
BILL-1234593906,SUB-10001959,CUS-11334,2024-07-01,2024-07-15,66.17,0,5.76,71.93,71.93,2024-07-06,Check,Paid,2024-07-01
BILL-1234593907,SUB-10001959,CUS-11334,2024-08-01,2024-08-15,66.17,0,5.94,72.11,72.11,2024-08-05,Credit Card,Paid,2024-08-01
BILL-1234593908,SUB-10001959,CUS-11334,2024-09-01,2024-09-15,66.17,0,6.32,72.49,null,null,null,Unpaid,2024-09-01
BILL-1234593909,SUB-10001959,CUS-11334,2024-10-01,2024-10-15,66.17,0,7.31,73.48,73.48,2024-10-16,Bank Transfer,Paid,2024-10-01
BILL-1234593910,SUB-10001959,CUS-11334,2024-11-01,2024-11-15,66.17,0,7.74,73.91,73.91,2024-11-09,Bank Transfer,Paid,2024-11-01
BILL-1234593911,SUB-10001959,CUS-11334,2024-12-01,2024-12-15,66.17,0,7.56,73.73,73.73,2024-12-09,Credit Card,Paid,2024-12-01
BILL-1234593912,SUB-10001959,CUS-11334,2025-01-01,2025-01-15,66.17,0,6.16,72.33,72.33,2025-01-10,Credit Card,Paid,2025-01-01
BILL-1234593913,SUB-10001959,CUS-11334,2025-02-01,2025-02-15,66.17,0,6.56,72.73,72.73,2025-02-03,Bank Transfer,Paid,2025-02-01
BILL-1234593914,SUB-10001959,CUS-11334,2025-03-01,2025-03-15,66.17,0,5.37,71.54,71.54,2025-03-14,Check,Paid,2025-03-01
BILL-1234593915,SUB-10001959,CUS-11334,2025-04-01,2025-04-15,66.17,23.35,7.92,97.44,null,null,null,Unpaid,2025-04-01
BILL-1234593916,SUB-10001959,CUS-11334,2025-05-01,2025-05-15,66.17,23.89,9.85,99.91,99.91,2025-05-06,Bank Transfer,Paid,2025-05-01
BILL-1234593917,SUB-10001959,CUS-11334,2025-06-01,2025-06-15,66.17,9.65,7.81,83.63,83.63,2025-06-03,Check,Paid,2025-06-01
BILL-1234593918,SUB-10001960,CUS-11335,2024-01-01,2024-01-15,207.55,0,19.32,226.87,226.87,2024-01-12,Check,Paid,2024-01-01
BILL-1234593919,SUB-10001960,CUS-11335,2024-02-01,2024-02-15,207.55,39.86,22.09,269.5,269.5,2024-02-15,Check,Paid,2024-02-01
BILL-1234593920,SUB-10001960,CUS-11335,2024-03-01,2024-03-15,207.55,25.79,21.73,255.07,255.07,2024-03-09,PayPal,Paid,2024-03-01
BILL-1234593921,SUB-10001960,CUS-11335,2024-04-01,2024-04-15,207.55,0,20.8,228.35,228.35,2024-04-18,PayPal,Paid,2024-04-01
BILL-1234593922,SUB-10001960,CUS-11335,2024-05-01,2024-05-15,207.55,0,20.48,228.03,228.03,2024-05-14,PayPal,Paid,2024-05-01
BILL-1234593923,SUB-10001960,CUS-11335,2024-06-01,2024-06-15,207.55,44.84,20.8,273.19,273.19,2024-06-04,Credit Card,Paid,2024-06-01
